"TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Layout_KBN","Record_ID","Shisetsu_CD","Shisetsu_CD_Yobi","Shusei_KBN","ShisetsuSetsubi_CD","AddDelete_KBN","Maintenance_DT","Tenso_DT","Byoshosu"
"04/15/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/12/2013 18:51:15","BATCH","04/15/2013 00:00:00","PVS_XP_2054","133","00","5101326","","B","010","2","20130411","20130412","0"
"04/15/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/12/2013 18:51:15","BATCH","04/15/2013 00:00:00","PVS_XP_2054","133","00","5101326","","B","012","2","20130411","20130412","0"
"04/15/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/12/2013 18:51:15","BATCH","04/15/2013 00:00:00","PVS_XP_2054","133","00","5101347","","B","001","1","20130411","20130412","0"
"04/15/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/12/2013 18:51:15","BATCH","04/15/2013 00:00:00","PVS_XP_2054","133","00","5101621","","B","001","1","20130411","20130412","0"
"04/15/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/12/2013 18:51:15","BATCH","04/15/2013 00:00:00","PVS_XP_2054","133","00","5103152","","B","001","1","20130411","20130412","0"
"02/18/2013 00:00:00","04/15/2013 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","04/16/2013 00:00:00","PVS_XP_2054","133","00","3300013","","A","007","2","20130215","20130218","0"
"04/16/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/15/2013 19:11:04","BATCH","04/16/2013 00:00:00","PVS_XP_2054","133","00","3300013","","B","007","1","20130412","20130415","0"
"02/18/2013 00:00:00","11/24/2025 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","11/25/2025 00:00:00","PVS_XP_2054","133","00","5502965","","A","001","2","20130215","20130218","0"
"02/18/2013 00:00:00","04/16/2013 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","04/17/2013 00:00:00","PVS_XP_2054","133","00","3300429","","A","001","2","20130215","20130218","0"
"02/18/2013 00:00:00","04/16/2013 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","04/17/2013 00:00:00","PVS_XP_2054","133","00","3300510","","A","014","2","20130215","20130218","0"
"04/17/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/16/2013 19:51:07","BATCH","04/17/2013 00:00:00","PVS_XP_2054","133","00","3300429","","B","001","1","20130415","20130416","0"
"02/18/2013 00:00:00","11/24/2025 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","11/25/2025 00:00:00","PVS_XP_2054","133","00","5502965","","A","005","2","20130215","20130218","0"
"04/17/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/16/2013 19:51:07","BATCH","04/17/2013 00:00:00","PVS_XP_2054","133","00","3300510","","B","014","1","20130415","20130416","0"
"04/17/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/16/2013 19:51:07","BATCH","04/17/2013 00:00:00","PVS_XP_2054","133","00","3301804","","B","012","1","20130415","20130416","0"
"04/17/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/16/2013 19:51:07","BATCH","04/17/2013 00:00:00","PVS_XP_2054","133","00","3302275","","B","001","1","20130415","20130416","0"
"04/17/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/16/2013 19:51:07","BATCH","04/17/2013 00:00:00","PVS_XP_2054","133","00","3302275","","B","010","2","20130415","20130416","0"
"02/18/2013 00:00:00","11/28/2021 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","11/29/2021 00:00:00","PVS_XP_2054","133","00","3300230","","A","013","2","20130215","20130218","0"
"02/18/2013 00:00:00","04/16/2013 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","04/17/2013 00:00:00","PVS_XP_2054","133","00","3301804","","A","012","2","20130215","20130218","0"
"02/18/2013 00:00:00","04/16/2013 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","04/17/2013 00:00:00","PVS_XP_2054","133","00","3302275","","A","001","2","20130215","20130218","0"
"02/18/2013 00:00:00","04/16/2013 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","04/17/2013 00:00:00","PVS_XP_2054","133","00","3303106","","A","002","2","20130215","20130218","0"
"04/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/17/2013 18:51:36","BATCH","04/18/2013 00:00:00","PVS_XP_2054","133","00","2600738","","B","010","2","20130416","20130417","0"
"04/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/17/2013 18:51:36","BATCH","04/18/2013 00:00:00","PVS_XP_2054","133","00","2601333","","B","015","2","20130416","20130417","0"
"04/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/17/2013 18:51:36","BATCH","04/18/2013 00:00:00","PVS_XP_2054","133","00","2602436","","B","008","2","20130416","20130417","0"
"02/18/2013 00:00:00","04/17/2013 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","04/18/2013 00:00:00","PVS_XP_2054","133","00","2601586","","A","010","2","20130215","20130218","0"
"04/19/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/18/2013 18:27:17","BATCH","04/19/2013 00:00:00","PVS_XP_2054","133","00","2600459","","B","012","2","20130417","20130418","0"
"04/19/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/18/2013 18:27:17","BATCH","04/19/2013 00:00:00","PVS_XP_2054","133","00","2600990","","B","012","2","20130417","20130418","0"
"04/19/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/18/2013 18:27:17","BATCH","04/19/2013 00:00:00","PVS_XP_2054","133","00","2602767","","B","001","1","20130417","20130418","0"
"04/19/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/18/2013 18:27:17","BATCH","04/19/2013 00:00:00","PVS_XP_2054","133","00","2603261","","B","014","1","20130417","20130418","0"
"04/19/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/18/2013 18:27:17","BATCH","04/19/2013 00:00:00","PVS_XP_2054","133","00","8800065","","B","010","2","20130417","20130418","0"
"04/19/2013 00:00:00","12/31/9999 00:00:00","False","Batch","04/18/2013 18:27:17","BATCH","04/19/2013 00:00:00","PVS_XP_2054","133","00","8800065","","B","012","1","20130417","20130418","0"
"02/18/2013 00:00:00","04/18/2013 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","04/19/2013 00:00:00","PVS_XP_2054","133","00","2602767","","A","001","2","20130215","20130218","0"
"02/18/2013 00:00:00","04/18/2013 00:00:00","False","Batch","02/16/2013 06:05:18","BATCH","04/19/2013 00:00:00","PVS_XP_2054","133","00","2603261","","A","014","2","20130215","20130218","0"
