"Dairiten_CD","TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","DaihyoDairi_CD","Dairiten_NG","Blockdairi_CD","IchijiDairi_CD","SalsTokei_KBN","SitnDirtn_FLG","DaiSeisak_KBN","PrintI_CTL","PrintYK_CTL","Keikakutani_FLG","DairitenKenkei_KBN","RyutuBuin_CD","Kurini_FLG"
"07005","04/16/2025 00:00:00","12/31/9999 00:00:00","0","itg04283","04/16/2025 14:09:26","PVU_EX_1400","itg04283","04/16/2025 14:09:26","PVU_EX_1400","07004","東北アルフレッサ（株）福島","07004","","1","3","3","306","017","5","","ecl10504","1"
"07020","10/10/2019 00:00:00","12/31/9999 00:00:00","0","itg04213","09/13/2018 16:21:02","PVU_EX_1400","itg04213","09/13/2018 16:21:02","PVU_EX_1400","","（株）小田島福島","","","1","3","3","205","003","5","","","1"
"07022","04/16/2025 00:00:00","12/31/9999 00:00:00","0","itg04283","04/16/2025 14:10:13","PVU_EX_1400","itg04283","04/16/2025 14:10:13","PVU_EX_1400","04041","（株）バイタルネット福島","","","3","3","3","116","001","5","","ecl10504","1"
"07025","10/01/2025 00:00:00","12/31/9999 00:00:00","0","itg04283","04/16/2025 14:11:01","PVU_EX_1400","itg04283","04/16/2025 14:11:01","PVU_EX_1400","23048","（株）スズケン福島営業部","04504","","1","3","3","255","015","5","","ecl10504","1"
"07027","12/01/2013 00:00:00","12/31/9999 00:00:00","0","ecl04321","03/29/2018 18:50:00","803001","ecl04321","03/29/2018 18:50:00","803001","23017","シーエス薬品（株）東北営業","07027","","3","3","3","017","017","","","","1"
"07028","10/01/2025 00:00:00","12/31/9999 00:00:00","0","itg04283","04/16/2025 14:11:30","PVU_EX_1400","itg04283","04/16/2025 14:11:30","PVU_EX_1400","13015","東邦薬品（株）福島営業部","","","1","3","3","156","002","1","","ecl10504","1"
"07031","04/15/2020 00:00:00","12/31/9999 00:00:00","0","itg40916","02/08/2019 10:27:49","PVU_EX_1400","itg40916","02/08/2019 10:27:49","PVU_EX_1400","07031","（株）杏栄薬品","","","","","3","420","","","","","0"
"07888","01/01/2000 00:00:00","12/31/9999 00:00:00","0","","03/29/2018 18:50:00","803001","","03/29/2018 18:50:00","803001","","福島の代理店","","","","","3","","","","","","0"
"07889","01/01/2000 00:00:00","12/31/9999 00:00:00","0","","03/29/2018 18:50:00","803001","","03/29/2018 18:50:00","803001","","福島の代理店","","","","","3","","","","","","0"
"08007","02/08/2019 00:00:00","12/31/9999 00:00:00","0","itg40916","02/08/2019 10:02:06","PVU_EX_1400","itg40916","02/08/2019 10:02:06","PVU_EX_1400","","岩渕薬品（株）水戸店","08007","","1","3","3","318","","","","","1"
