"TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","KangoShubetsu_KBN","KangoShubetsu_CD","Meisho","Ryakusho"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C016","一般病棟１０対１入院基本料　７５：１看護補助","一１０入補７５"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C017","特定一般病棟入院料１３対１","特般一１３"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C018","特定一般病棟入院料１５対１","特般一１５"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C101","一般病棟Ⅰ群入院基本料１","一Ⅰ入１"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C102","一般病棟Ⅰ群入院基本料１　減算","一Ⅰ入１減"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C201","一般病棟Ⅰ群入院基本料２","一Ⅰ入２"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C202","一般病棟Ⅰ群入院基本料２　減算","一Ⅰ入２減"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C261","一般病棟Ⅰ群入院基本料２　１０：１看護補助","一Ⅰ入２補１０"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C262","一般病棟Ⅰ群入院基本料２　１０：１看護補助　減算","一Ⅰ入２補１０減"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C281","一般病棟Ⅰ群入院基本料２　１５：１看護補助","一Ⅰ入２補１５"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C282","一般病棟Ⅰ群入院基本料２　１５：１看護補助　減算","一Ⅰ入２補１５減"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C301","一般病棟Ⅰ群入院基本料３　看配","一Ⅰ入３看"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C302","一般病棟Ⅰ群入院基本料３","一Ⅰ入３"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C303","一般病棟Ⅰ群入院基本料３　減算","一Ⅰ入３減"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C341","一般病棟Ⅰ群入院基本料３　６：１看護補助　看配","一Ⅰ入３補６看"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C342","一般病棟Ⅰ群入院基本料３　６：１看護補助","一Ⅰ入３補６"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C343","一般病棟Ⅰ群入院基本料３　６：１看護補助　減算","一Ⅰ入３補６減"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C361","一般病棟Ⅰ群入院基本料３　１０：１看護補助　看配","一Ⅰ入３補１０看"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C362","一般病棟Ⅰ群入院基本料３　１０：１看護補助","一Ⅰ入３補１０"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C363","一般病棟Ⅰ群入院基本料３　１０：１看護補助　減算","一Ⅰ入３補１０減"
