"EisaiOroshi_CD","TekiyoKaishi_DT","TekiyoShuryo_DT","KeishoMotoRecord_KEY","KeishoSakiRecord_KEY","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Oroshi_KJ","OroshiSoshikiCode_LEN","OroshiSoshikiCode_E_LEN","OroshiSoshikiCode_PTN","OroshiKaiso_PTN","DaihyoDairiten_CD","JD_NET_FLG","PLANET_FLG","KobetsuNET_FLG","Medicode_FLG","Kain_ID_Prefix","NnskCyofuku_LVL"
"14","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","イワキ株式会社","6","6","123456","222","13003","0","0","0","0","MM","1"
"16","07/26/2019 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","itg40916","07/26/2019 00:00:00","Tenyuryoku","アルフレッサヘルスケア（株","3","3","123","21","13012","0","0","0","0","MM","0"
"17","10/01/2013 00:00:00","12/31/9999 00:00:00","0","0","0","ips00023","09/25/2013 00:00:00","IPSPATCH","ips00023","09/25/2013 00:00:00","IPSPATCH","東邦薬品（株）","5","3","345","23","13013","1","0","0","2","TH","0"
"18","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","森川産業株式会社","1","1","1","1","13038","0","0","0","0","MM","0"
"19","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","エーディア株式会社","3","3","123","3","13049","0","0","0","0","MM","1"
"20","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","中央物産株式会社","2","2","12","2","13093","0","0","0","0","MM","0"
"21","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","アルフレッサ（株）","7","7","1234567","2113","13149","1","0","0","1","MM","0"
"22","05/18/2018 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","itg04213","05/18/2018 00:00:00","Tenyuryoku","株式会社　大木","3","3","123","3","13157","0","0","0","0","MM","0"
"23","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","メディセオ","8","8","12345678","332","13160","1","0","0","1","MM","0"
"24","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","（株）井田両国堂","1","1","1","1","13803","0","0","0","0","MM","1"
"25","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","（株）マルタケ新潟","2","2","12","11","15003","1","0","0","1","MM","0"
"27","01/06/2014 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","12/26/2013 17:19:00","803002","ips00023","01/06/2014 00:00:00","IPSPATCH","（株）ファイネス","7","3","567","223","16004","1","0","0","1","MM","0"
"28","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","明祥（株）","7","7","1234567","2113","17001","1","0","0","1","MM","0"
"30","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","岡野薬品（株）","1","1","1","1","20001","1","0","0","1","MM","0"
"31","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","鍋林（株）","3","3","123","3","20005","1","0","0","1","MM","0"
"33","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","中北薬品（株）","5","3","345","23","23002","1","0","0","1","MM","0"
"34","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","（株）スズケン名古屋営業部","9","6","123789","333","23009","1","0","0","1","MM","0"
"36","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","神宮薬品（株）","1","1","1","1","24011","0","0","0","0","MM","0"
"37","01/01/2016 00:00:00","12/31/9999 00:00:00","0","0","0","ips00023","12/18/2015 00:00:00","IPSPATCH","ips00023","12/18/2015 00:00:00","IPSPATCH","（株）ケーエスケー","7","7","1234567","2311","27042","1","0","0","1","MM","0"
"38","05/07/2013 00:00:00","12/31/9999 00:00:00","0","0","0","ips00002","05/01/2013 00:00:00","IPSPATCH","ips00002","05/01/2013 00:00:00","IPSPATCH","（株）Ｐａｌｔａｃ近畿支社","9","9","123456789","9","27070","0","0","0","0","MM","1"
"43","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","四国薬業（株）","11","11","123456789ab","1122122","37017","1","0","0","1","MM","0"
"44","01/01/2015 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","IPS00011","12/25/2014 11:00:00","IPSPATCH","株式会社　アスティス","9","6","123789","333","38010","1","0","0","1","MM","0"
"45","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","中澤氏家薬業（株）","8","5","12345","35","39017","1","0","0","0","MM","0"
"46","05/02/2016 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","IPS00023","05/02/2016 13:00:00","IPSPATCH","株式会社翔薬","9","6","123789","333","40004","1","0","0","1","MM","0"
"48","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","正晃（株）","1","1","1","1","40098","0","0","0","0","MM","0"
"50","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","（株）宮崎温仙堂商店","7","7","1234567","7","42002","1","0","0","1","MM","0"
"51","04/17/2013 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","富田薬品（株）","7","7","1234567","1222","43002","1","0","0","1","MM","0"
"52","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","（株）新生堂","2","2","12","2","43006","1","0","0","0","MM","0"
"53","04/17/2013 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","（株）トミタヘルスケア","7","7","1234567","1222","43022","0","0","0","0","MM","0"
"54","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","ツツミ化学","1","1","1","1","43099","0","0","0","0","MM","0"
"55","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","（株）アステム","8","8","12345678","2111111","44001","1","0","0","1","MM","0"
