"corporation_cd","region_cd","start_date","end_date","locale_id","region_cd_name","remark","delete_flag","create_user_cd","create_date","record_user_cd","record_date"
"1000","0140","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品４０","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0141","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧品４１","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0141","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品４１","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0142","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧品４２","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0142","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品４２","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0143","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧品４３","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0143","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品４３","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0144","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧品４４","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0144","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品４４","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0145","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧品４５","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0145","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品４５","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0146","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧品４６","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0146","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品４６","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0147","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧品４７","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0147","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品４７","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0148","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧品４８","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0148","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品４８","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0149","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧品４９","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0149","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品４９","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0150","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧品５０","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0150","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品５０","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0151","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧品５１","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0151","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品５１","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0152","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧品５２","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0152","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品５２","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0153","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧品５３","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0153","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品５３","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0154","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧品５４","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0154","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","薬粧品５４","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0155","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","薬粧品５５","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
