"TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Layout_KBN","Todofuken_CD","Shusei_KBN","Maintenance_DT","Tenso_DT","IryokenMaintenace_DT","Koji_DT","Seishin_KijunByosho","Seishin_KizonByosho","Seishin_Kizon_DT","Seishin_Kafusokusu","Kekkaku_KijunByosho","Kekkaku_KizonByosho","Kekkaku_Kizon_DT","Kekkaku_Kafusokusu","Kansen_KijunByosho","Kansen_KizonByosho","Kansen_Kizon_DT","Kansen_Kafusokusu"
"02/18/2013 00:00:00","04/23/2013 00:00:00","False","Batch","02/16/2013 06:07:21","BATCH","04/24/2013 00:00:00","PVS_XP_2060","121","39","A","20130215","20130218","20080501","20080331","2745","3853","20070930","1108","60","212","20070930","152","11","11","20070930","0"
"02/18/2013 00:00:00","04/23/2013 00:00:00","False","Batch","02/16/2013 06:07:21","BATCH","04/24/2013 00:00:00","PVS_XP_2060","121","40","A","20130215","20130218","20100201","20080331","19130","21720","20070801","2590","173","526","20070801","353","66","56","20070801","-10"
"02/18/2013 00:00:00","04/23/2013 00:00:00","False","Batch","02/16/2013 06:07:21","BATCH","04/24/2013 00:00:00","PVS_XP_2060","121","41","A","20130215","20130218","20080501","20080401","3661","4366","20080331","705","58","70","20080331","12","24","22","20080331","-2"
"02/18/2013 00:00:00","04/23/2013 00:00:00","False","Batch","02/16/2013 06:07:21","BATCH","04/24/2013 00:00:00","PVS_XP_2060","121","42","A","20130215","20130218","20110901","20110419","6492","8043","20100930","1551","70","150","20100930","80","38","38","20100930","0"
"02/18/2013 00:00:00","04/23/2013 00:00:00","False","Batch","02/16/2013 06:07:21","BATCH","04/24/2013 00:00:00","PVS_XP_2060","121","43","A","20130215","20130218","20120401","20100323","7126","9013","20090401","1887","137","246","20090401","109","48","48","20090401","0"
"02/18/2013 00:00:00","04/23/2013 00:00:00","False","Batch","02/16/2013 06:07:21","BATCH","04/24/2013 00:00:00","PVS_XP_2060","121","44","A","20130215","20130218","20080501","20080331","4321","5397","20080201","1076","46","150","20080201","104","54","44","20080201","-10"
"02/18/2013 00:00:00","04/23/2013 00:00:00","False","Batch","02/16/2013 06:07:21","BATCH","04/24/2013 00:00:00","PVS_XP_2060","121","45","A","20130215","20130218","20100301","20080401","4376","6225","20080229","1849","84","110","20080229","26","32","30","20080229","-2"
"02/18/2013 00:00:00","04/23/2013 00:00:00","False","Batch","02/16/2013 06:07:21","BATCH","04/24/2013 00:00:00","PVS_XP_2060","121","46","A","20130215","20130218","20100301","20080401","8683","9974","20080101","1291","214","230","20080101","16","38","44","20080101","6"
"02/18/2013 00:00:00","04/23/2013 00:00:00","False","Batch","02/16/2013 06:07:21","BATCH","04/24/2013 00:00:00","PVS_XP_2060","121","47","A","20130215","20130218","20080501","20080401","4884","5610","20070331","726","44","81","20070331","37","26","18","20070331","-8"
"04/24/2013 00:00:00","05/29/2018 00:00:00","False","Batch","04/23/2013 18:40:27","BATCH","05/30/2018 00:00:00","PVS_XP_2060","121","13","B","20130422","20130423","20130501","20130401","21956","23211","20121001","1255","398","563","20121001","165","130","124","20121001","-6"
