"EisaiOroshiSoshiki_CD","TekiyoKaishi_DT","TekiyoShuryo_DT","KeishoMotoRecord_KEY","KeishoSakiRecord_KEY","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","OroshiSoshikiCode_ECONV","EisaiShishoka_ID","Data_Status"
"45","01/18/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","01/09/2018 09:28:32","PVU-1030","itg39895","10/09/2025 11:24:37","PVU_XP_1302","1809","618","0"
"46","11/29/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","","0","0"
"47","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/09/2025 11:24:37","PVU_XP_1302","1900","633","0"
"48","01/18/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","01/09/2018 09:28:32","PVU-1030","itg39895","10/09/2025 11:24:37","PVU_XP_1302","1909","633","0"
"49","11/29/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","","0","0"
"50","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/09/2025 11:24:37","PVU_XP_1302","2010","638","0"
"51","01/18/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","01/09/2018 09:28:32","PVU-1030","itg39895","10/09/2025 11:24:37","PVU_XP_1302","2019","638","0"
"52","11/29/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","","0","0"
"53","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/09/2025 11:24:37","PVU_XP_1302","2021","630","0"
"54","01/18/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","01/09/2018 09:28:32","PVU-1030","itg39895","10/09/2025 11:24:37","PVU_XP_1302","2022","630","0"
"55","01/18/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","01/09/2018 09:28:32","PVU-1030","itg39895","10/09/2025 11:24:37","PVU_XP_1302","2023","630","0"
