"corporation_cd","policy_div","start_date","end_date","locale_id","policy_div_name","remark","delete_flag","create_user_cd","create_date","record_user_cd","record_date"
"1000","0205","04/01/2019 00:00:00","03/31/2021 00:00:00","ja","医薬値引品","","0","ecl07857","12/03/2018 00:00:00","ecl91526","12/03/2020 00:00:00"
"1000","0205","04/01/2021 00:00:00","03/31/2024 00:00:00","ja","ＯＮＣ品","","0","ecl91526","12/03/2020 00:00:00","ecl97916","01/31/2024 00:00:00"
"1000","0206","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","医薬値引品","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0206","04/01/2018 00:00:00","03/31/2019 00:00:00","ja","医薬値引品","","0","ecl07857","12/03/2018 00:00:00","ecl07857","12/03/2018 00:00:00"
"1000","0206","04/01/2019 00:00:00","03/31/2021 00:00:00","ja","ＥＡ品","","0","ecl07857","12/03/2018 00:00:00","ecl91526","12/03/2020 00:00:00"
"1000","0206","04/01/2021 00:00:00","03/31/2022 00:00:00","ja","医薬値引品","","0","ecl91526","12/03/2020 00:00:00","ecl10528","11/30/2021 00:00:00"
"1000","0206","04/01/2022 00:00:00","03/31/2024 00:00:00","ja","ＩＭ戦略品","","0","ecl10528","11/30/2021 00:00:00","eclecl97916","01/31/2024 00:00:00"
"1000","0206","04/01/2024 00:00:00","12/31/2999 00:00:00","ja","提携品","","0","ecl97916","01/31/2024 00:00:00","eclecl97916","01/31/2024 00:00:00"
"1000","0207","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","医薬ＥＥ品","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0207","04/01/2018 00:00:00","03/31/2019 00:00:00","ja","ＥＡ品","","0","ecl07857","12/03/2018 00:00:00","ecl07857","12/03/2018 00:00:00"
"1000","0207","04/01/2019 00:00:00","03/31/2021 00:00:00","ja","ジェネリック品","","0","ecl07857","12/03/2018 00:00:00","ecl91526","12/03/2020 00:00:00"
"1000","0207","04/01/2021 00:00:00","03/31/2022 00:00:00","ja","ＥＡ品","","0","ecl91526","12/03/2020 00:00:00","ecl97916","11/30/2021 00:00:00"
"1000","0207","04/01/2022 00:00:00","03/31/2024 00:00:00","ja","ＩＭ品","","0","ecl97916","11/30/2021 00:00:00","ecl97916","01/31/2024 00:00:00"
"1000","0208","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","診断薬","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0208","04/01/2018 00:00:00","03/31/2019 00:00:00","ja","医薬ＥＥ品","","0","ecl07857","12/03/2018 00:00:00","ecl07857","12/03/2018 00:00:00"
"1000","0208","04/01/2019 00:00:00","03/31/2021 00:00:00","ja","診断薬","","0","ecl07857","12/03/2018 00:00:00","ecl91526","12/03/2020 00:00:00"
"1000","0208","04/01/2021 00:00:00","03/31/2022 00:00:00","ja","ジェネリック品","","0","ecl91526","12/03/2020 00:00:00","ecl97916","11/30/2021 00:00:00"
"1000","0208","04/01/2022 00:00:00","03/31/2024 00:00:00","ja","医薬値引品","","0","ecl97916","11/30/2021 00:00:00","ecl97916","01/31/2024 00:00:00"
"1000","0208","04/01/2024 00:00:00","12/31/2999 00:00:00","ja","基盤品","","0","ecl97916","11/30/2021 00:00:00","ecl97916","01/31/2024 00:00:00"
"1000","0209","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","ＯＮＣ新創品","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0209","04/01/2018 00:00:00","03/31/2019 00:00:00","ja","診断薬","","0","ecl07857","12/03/2018 00:00:00","ecl07857","12/03/2018 00:00:00"
"1000","0209","04/01/2019 00:00:00","03/31/2021 00:00:00","ja","ＥＥ品","","0","ecl07857","12/07/2018 00:00:00","ecl91526","12/03/2020 00:00:00"
"1000","0209","04/01/2021 00:00:00","03/31/2022 00:00:00","ja","診断薬","","0","ecl91526","12/03/2020 00:00:00","ecl97916","11/30/2021 00:00:00"
"1000","0209","04/01/2022 00:00:00","03/31/2024 00:00:00","ja","ＥＡ品","","0","ecl97916","11/30/2021 00:00:00","ecl97916","01/31/2024 00:00:00"
"1000","0210","04/01/2021 00:00:00","03/31/2022 00:00:00","ja","ＥＥ品","","0","ecl91526","12/03/2020 00:00:00","ecl97916","11/30/2021 00:00:00"
"1000","0210","04/01/2022 00:00:00","03/31/2024 00:00:00","ja","診断薬","","0","ecl97916","11/30/2021 00:00:00","ecl97916","01/31/2024 00:00:00"
"1000","0210","04/01/2024 00:00:00","03/31/2026 00:00:00","ja","安定品","","0","ecl97916","01/31/2024 00:00:00","ecl60089","12/08/2025 00:00:00"
