"cdgroup_cd","locale_id","cdgroup_name","notes","delete_flag","create_user_cd","create_date","record_user_cd","record_date"
"MDM-000-11000057","ja","倉庫区分","倉庫区分を判別する。","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000058","ja","採番方法","採番方法を判別する。","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000059","ja","MDMステータス","仮テーブルレコード状態を判別する。","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000060","ja","申請区分","ワーク風呂の申請で新規登録か更新登録かを判別する。","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000061","ja","I/F処理ステータス","I/Fレコードの処理状況を判別する。","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000062","ja","実績費用ロック","該当会計組織に費用計上を許可するかどうかの区分。","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000063","ja","実績収益ロック","該当会計組織に収益計上を許可するかどうかの区分。","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000064","ja","計画費用ロック","該当会計組織に計画費用計上を許可するかどうかの区分。","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000065","ja","計画収益ロック","該当会計組織に計画収益計上を許可するかどうかの区分。","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000066","ja","費用配賦ロック","該当会計組織への費用配賦を許可するかどうかの区分。","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000067","ja","計画費用配賦ロック","該当会計組織への計画費用配賦を許可するかどうかの区分。","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000068","ja","仮想口座指定区分","仮想口座を判別する。","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000069","ja","I/F配信区分","データ配信対象かどうかの区分。","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000070","ja","テーブルID","テーブルID。","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000071","ja","ファイル用途（集信データ取込エラーファイル）","集信データ取込エラーファイルをダウンロードする画面で対象マスタを識別させる区分。","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000072","ja","エラー区分（集信データ取込）","集信データ取込処理で発生したエラー内容を識別する区分。","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000073","ja","処理モード","登録画面の処理モード権限ID決定のメンテナ画面で存在チェック用で利用","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000074","ja","コード予約機能フラグ","コード予約機能を利用するかどうかの区分","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000075","ja","予約コードステータス","予約コードの状態を表す区分","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000076","ja","性別","性別を表す区分","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000077","ja","数量単位","数量の単位（区分値はSAPと同じもの）","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000078","ja","重量単位","重量の単位（区分値はSAPと同じもの）","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000079","ja","長さ単位","長さの単位（区分値はSAPと同じもの）","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000080","ja","容積単位","容積の単位（区分値はSAPと同じもの）","0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000081","ja","配信処理ステータス",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000082","ja","配信タイプ",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000083","ja","バッチ種別ID",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000084","ja","有効フラグ",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000085","ja","処理ステータス",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000086","ja","ログレベル",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000087","ja","出力種別",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000088","ja","メールアドレス種別",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000089","ja","テーブル項目属性",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000090","ja","システム日付同期フラグ",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000091","ja","システム日付チェック種別",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000092","ja","ログアーカイブフラグ",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000093","ja","ハウスキープフラグ",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
"MDM-000-11000094","ja","日時同期種類",,"0","eisai_init","11/06/2017 00:00:00","eisai_init","11/06/2017 00:00:00"
