"TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Layout_KBN","Record_ID","Shisetsu_CD","Shisetsu_CD_Yobi","Shusei_KBN","TankiTaizai_CD","AddDelete_KBN","Maintenance_DT","Tenso_DT"
"03/06/2015 00:00:00","12/31/9999 00:00:00","False","Batch","03/05/2015 19:06:27","BATCH","03/06/2015 00:00:00","PVS_XP_2056","135","00","3611872","","B","111","2","20150304","20150305"
"02/18/2013 00:00:00","02/17/2019 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","02/18/2019 00:00:00","PVS_XP_2056","135","00","8101145","","A","105","2","20130215","20130218"
"02/18/2013 00:00:00","05/07/2013 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","05/08/2013 00:00:00","PVS_XP_2056","135","00","7301059","","A","212","2","20130215","20130218"
"02/18/2013 00:00:00","05/07/2013 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","05/08/2013 00:00:00","PVS_XP_2056","135","00","7301135","","A","109","2","20130215","20130218"
"02/18/2013 00:00:00","05/07/2013 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","05/08/2013 00:00:00","PVS_XP_2056","135","00","7301240","","A","101","2","20130215","20130218"
"02/18/2013 00:00:00","05/07/2013 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","05/08/2013 00:00:00","PVS_XP_2056","135","00","7301240","","A","106","2","20130215","20130218"
"02/18/2013 00:00:00","05/07/2013 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","05/08/2013 00:00:00","PVS_XP_2056","135","00","7301240","","A","109","2","20130215","20130218"
"02/18/2013 00:00:00","05/07/2013 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","05/08/2013 00:00:00","PVS_XP_2056","135","00","7301240","","A","110","2","20130215","20130218"
"02/18/2013 00:00:00","05/07/2013 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","05/08/2013 00:00:00","PVS_XP_2056","135","00","7301240","","A","111","2","20130215","20130218"
"02/18/2013 00:00:00","05/07/2013 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","05/08/2013 00:00:00","PVS_XP_2056","135","00","7301240","","A","206","2","20130215","20130218"
"02/18/2013 00:00:00","05/07/2013 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","05/08/2013 00:00:00","PVS_XP_2056","135","00","7301240","","A","207","2","20130215","20130218"
"02/18/2013 00:00:00","02/20/2022 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","02/21/2022 00:00:00","PVS_XP_2056","135","00","7300717","","A","104","2","20130215","20130218"
"02/18/2013 00:00:00","02/20/2022 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","02/21/2022 00:00:00","PVS_XP_2056","135","00","7300717","","A","106","2","20130215","20130218"
"02/18/2013 00:00:00","02/20/2022 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","02/21/2022 00:00:00","PVS_XP_2056","135","00","7300717","","A","110","2","20130215","20130218"
"02/18/2013 00:00:00","02/20/2022 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","02/21/2022 00:00:00","PVS_XP_2056","135","00","8101253","","A","110","2","20130215","20130218"
"02/18/2013 00:00:00","02/17/2019 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","02/18/2019 00:00:00","PVS_XP_2056","135","00","8101145","","A","201","2","20130215","20130218"
"02/18/2013 00:00:00","02/17/2019 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","02/18/2019 00:00:00","PVS_XP_2056","135","00","8101145","","A","202","2","20130215","20130218"
"02/18/2013 00:00:00","03/29/2020 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","03/30/2020 00:00:00","PVS_XP_2056","135","00","4700322","","A","101","2","20130215","20130218"
"02/18/2013 00:00:00","03/29/2020 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","03/30/2020 00:00:00","PVS_XP_2056","135","00","4700322","","A","104","2","20130215","20130218"
"02/18/2013 00:00:00","02/20/2022 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","02/21/2022 00:00:00","PVS_XP_2056","135","00","8101253","","A","111","2","20130215","20130218"
"02/18/2013 00:00:00","05/07/2013 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","05/08/2013 00:00:00","PVS_XP_2056","135","00","7301240","","A","208","2","20130215","20130218"
"02/18/2013 00:00:00","05/07/2013 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","05/08/2013 00:00:00","PVS_XP_2056","135","00","7301240","","A","210","2","20130215","20130218"
"02/18/2013 00:00:00","05/07/2013 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","05/08/2013 00:00:00","PVS_XP_2056","135","00","7301330","","A","101","2","20130215","20130218"
"02/18/2013 00:00:00","05/07/2013 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","05/08/2013 00:00:00","PVS_XP_2056","135","00","7301330","","A","103","2","20130215","20130218"
"02/18/2013 00:00:00","05/07/2013 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","05/08/2013 00:00:00","PVS_XP_2056","135","00","7301330","","A","104","2","20130215","20130218"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","02/18/2013 00:00:00","PVS_XP_2056","135","00","7301334","","A","105","2","20130215","20130218"
