"TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Layout_KBN","ShisetsuKBN_CD","Shusei_KBN","Maintenance_DT","Tenso_DT","Meisho"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","49","A","20130215","20130218","種別不明老人ホーム等"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","50","A","20130215","20130218","老人福祉センター"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","51","A","20130215","20130218","老人休養ホーム・老人憩の家"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","52","A","20130215","20130218","老人デイサービスセンター（ケアセンター）"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","53","A","20130215","20130218","在宅介護支援センター"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","54","A","20130215","20130218","訪問看護ステーション"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","55","A","20130215","20130218","地域包括支援センター"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","59","A","20130215","20130218","種別不明老人関連施設および福祉センター"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","60","A","20130215","20130218","医師会臨床検査センター"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","61","A","20130215","20130218","登録衛生検査所"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","62","A","20130215","20130218","歯科機器メーカー・卸"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","63","A","20130215","20130218","ブランチラボラトリー"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","69","A","20130215","20130218","その他の検査所"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","70","A","20130215","20130218","研究機関"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","71","A","20130215","20130218","大学医学部・医科大学"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","72","A","20130215","20130218","大学薬学部・薬科大学"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","73","A","20130215","20130218","医療技術短大等"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","74","A","20130215","20130218","大学歯学部・歯科大学"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","75","A","20130215","20130218","大学院研究科（医学部）"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:33","BATCH","04/14/2026 00:00:00","PVS_XP_2088","011","76","A","20130215","20130218","大学院研究科（薬学部）"
