"KigyoVC_KBN","KigyoVC_CD","TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Kaiso_KBN","Jyoi_CD","KigyoVC_KJ","KigyoVC_KJR","KigyoVC_KN","KigyoVC_KNR","KanriShiten_CD","HonbuKanri_FLG","Tantosha_CD","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Shinseisha_ID","Shinsei_DT"
"PVS_Z0040","0121","01/16/2023 00:00:00","12/31/9999 00:00:00","False","02","04","ダイエーＳＭ事業部","ダイエＳＭ","ﾀﾞｲｴ-SMｼﾞｷﾞﾖｳﾌﾞ","ﾀﾞｲｴ-SMｼﾞｷ","87","1"," ","04321","10/01/2012 00:00:00","itg41755","01/16/2023 00:00:00","PVS_XP_2003","itg41755","01/16/2023 00:00:00"
"PVS_Z0012","D","04/01/2015 00:00:00","01/10/2017 00:00:00","False","02","","厚生連卸","厚生連卸","ｺｳｾｲﾚﾝｵﾛｼ","ｺｳｾｲﾚﾝｵﾛｼ","","","05665","BATCH","03/06/2013 00:00:00","itg34781","01/11/2017 00:00:00","PVS_XP_2003","itg04213","01/11/2017 00:00:00"
"PVS_Z0012","C","04/01/2015 00:00:00","01/10/2017 00:00:00","False","02","","県厚生連","県厚生連","ｹﾝｺｳｾｲﾚﾝ","ｹﾝｺｳｾｲﾚﾝ","","","05460","BATCH","03/06/2013 00:00:00","itg34781","01/11/2017 00:00:00","PVS_XP_2003","itg04213","01/11/2017 00:00:00"
"PVS_Z0012","B","04/01/2015 00:00:00","01/10/2017 00:00:00","False","02","","厚生連単独","厚生連単独","ｺｳｾｲﾚﾝﾀﾝﾄﾞｸ","ｺｳｾｲﾚﾝﾀﾝﾄﾞ","","","05263","BATCH","03/06/2013 00:00:00","itg34781","01/11/2017 00:00:00","PVS_XP_2003","itg04213","01/11/2017 00:00:00"
"PVS_Z0012","A","04/01/2015 00:00:00","01/10/2017 00:00:00","False","02","","ＶＨＪ","ＶＨＪ","VHJ","VHJ","","","05665","BATCH","03/06/2013 00:00:00","itg34781","01/11/2017 00:00:00","PVS_XP_2003","itg04213","01/11/2017 00:00:00"
"PVS_Z0012","4","04/01/2015 00:00:00","03/31/2016 00:00:00","False","02","","厚生連（その他）","厚生連（そ","ｺｳｾｲﾚﾝ(ｿﾉﾀ)","ｺｳｾｲﾚﾝ(ｿﾉﾀ","","","06157","itg34781","10/01/2013 00:00:00","itg37554","04/08/2016 00:00:00","PVS_XP_2003","itg04213","03/06/2015 00:00:00"
"PVS_Z0012","2","04/01/2015 00:00:00","01/10/2017 00:00:00","False","02","","徳洲会Ｇ","徳洲会Ｇ","ﾄｸｼﾕｳｶｲG","ﾄｸｼﾕｳｶｲG","","","79506","itg34781","10/01/2014 00:00:00","itg34781","01/11/2017 00:00:00","PVS_XP_2003","itg04213","01/11/2017 00:00:00"
"PVS_Z0012","1","04/01/2015 00:00:00","03/31/2016 00:00:00","False","02","","中央医科Ｇ","中央医科Ｇ","ﾁﾕｳｵｳｲｶG","ﾁﾕｳｵｳｲｶG","","","79501","BATCH","03/06/2013 00:00:00","itg37554","04/08/2016 00:00:00","PVS_XP_2003","itg04213","03/06/2015 00:00:00"
"PVS_Z0040","6770","01/29/2015 00:00:00","04/11/2017 00:00:00","False","02","67","ウエルシア第５営業部","ウエル第５","ｳｴﾙｼｱﾀﾞｲ5ｴｲｷﾞﾖｳﾌﾞ","ｳｴﾙｼｱﾀﾞｲ5ｴ",""," "," ","itg34781","01/29/2015 00:00:00","itg04213","04/12/2017 00:00:00","PVS_XP_2003","itg04213","04/12/2017 00:00:00"
"PVS_Z0040","6760","01/29/2015 00:00:00","04/11/2017 00:00:00","False","02","67","ウエルシア第４営業部","ウエル第４","ｳｴﾙｼｱﾀﾞｲ4ｴｲｷﾞﾖｳﾌﾞ","ｳｴﾙｼｱﾀﾞｲ4ｴ",""," "," ","itg34781","01/29/2015 00:00:00","itg04213","04/12/2017 00:00:00","PVS_XP_2003","itg04213","04/12/2017 00:00:00"
"PVS_Z0040","6750","01/29/2015 00:00:00","04/11/2017 00:00:00","False","02","67","ウエルシア第３営業部","ウエル第３","ｳｴﾙｼｱﾀﾞｲ3ｴｲｷﾞﾖｳﾌﾞ","ｳｴﾙｼｱﾀﾞｲ3ｴ",""," "," ","itg34781","01/29/2015 00:00:00","itg04213","04/12/2017 00:00:00","PVS_XP_2003","itg04213","04/12/2017 00:00:00"
"PVS_Z0040","6740","01/29/2015 00:00:00","04/11/2017 00:00:00","False","02","67","ウエルシア第２営業部","ウエル第２","ｳｴﾙｼｱﾀﾞｲ2ｴｲｷﾞﾖｳﾌﾞ","ｳｴﾙｼｱﾀﾞｲ2ｴ",""," "," ","itg34781","01/29/2015 00:00:00","itg04213","04/12/2017 00:00:00","PVS_XP_2003","itg04213","04/12/2017 00:00:00"
"PVS_Z0040","6730","01/29/2015 00:00:00","04/11/2017 00:00:00","False","02","67","ウエルシア第１営業部","ウエル第１","ｳｴﾙｼｱﾀﾞｲ1ｴｲｷﾞﾖｳﾌﾞ","ｳｴﾙｼｱﾀﾞｲ1ｴ",""," "," ","itg34781","01/29/2015 00:00:00","itg04213","04/12/2017 00:00:00","PVS_XP_2003","itg04213","04/12/2017 00:00:00"
"PVS_Z0040","6998","10/29/2014 00:00:00","01/25/2022 00:00:00","False","02","68","株式会社オストジャパン","株オストジ","ｶﾌﾞｼｷｶﾞｲｼﾔｵｽﾄｼﾞﾔﾊﾟﾝ","ｶﾌﾞｵｽﾄｼﾞﾔﾊ",""," "," ","itg04213","10/29/2014 00:00:00","itg04213","10/29/2014 00:00:00","PVS_XP_2003","itg04213","10/29/2014 00:00:00"
"PVS_Z0040","6232","10/29/2014 00:00:00","01/25/2022 00:00:00","False","02","68","株式会社エスロード","エスロード","(ｶﾌﾞ)ｴｽﾛ-ﾄﾞ","ｴｽﾛ-ﾄﾞ","07"," "," ","07091","10/01/2012 00:00:00","itg04213","10/29/2014 00:00:00","PVS_XP_2003","Iitg04213","10/29/2014 00:00:00"
"PVS_Z0040","8123","10/08/2014 00:00:00","04/20/2017 00:00:00","False","02","81","ＦＣスーパー大栄","ＦＣ大栄","FCｽ-ﾊﾟ-ﾀﾞｲｴｲ","FCｽ-ﾊﾟ-ﾀﾞｲ",""," "," ","itg04213","10/08/2014 00:00:00","itg04213","04/21/2017 00:00:00","PVS_XP_2003","itg04213","04/21/2017 00:00:00"
"PVS_Z0040","0462","09/18/2014 00:00:00","01/25/2022 00:00:00","False","02","04"," マックスバリュー北海道","ＭＶ北海"," ﾏﾂｸｽﾊﾞﾘﾕ-ﾎﾂｶｲﾄﾞｳ "," MVﾎﾂｶｲﾄﾞｳ",""," "," ","itg34781","09/18/2014 00:00:00","itg34781","09/18/2014 00:00:00","PVS_XP_2003","itg34781","09/18/2014 00:00:00"
