"DairitenTK_CD","Corp_ID","TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","RyutsuSoshiki_CD","RyutsuBuin_CD","SalsTokei_KBN","Hosho_FLG","DairitenTokeiShitei_FLG"
"16001","EA","04/01/2019 00:00:00","04/04/2022 00:00:00","0","ITSP","03/30/2018 21:56:22","ENW","ITSP","03/28/2019 00:00:00","2019KK","06","","","0",""
"17011","EA","04/01/2019 00:00:00","04/04/2022 00:00:00","0","ITSP","03/30/2018 21:56:22","ENW","ITSP","03/28/2019 00:00:00","2019KK","06","","","0",""
"17024","EA","04/01/2019 00:00:00","04/04/2022 00:00:00","0","ITSP","03/30/2018 21:56:22","ENW","ITSP","03/28/2019 00:00:00","2019KK","06","","","0",""
"17001","EA","04/01/2019 00:00:00","04/04/2022 00:00:00","0","ITSP","03/30/2018 21:56:22","ENW","ITSP","03/28/2019 00:00:00","2019KK","06","","","0",""
"16005","EA","04/01/2019 00:00:00","04/04/2022 00:00:00","0","ITSP","03/30/2018 21:56:22","ENW","ITSP","03/28/2019 00:00:00","2019KK","06","","","0",""
"17004","EA","04/01/2019 00:00:00","04/04/2022 00:00:00","0","ITSP","03/30/2018 21:56:22","ENW","ITSP","03/28/2019 00:00:00","2019KK","06","","","0",""
"17022","EA","04/01/2019 00:00:00","04/04/2022 00:00:00","0","ITSP","03/30/2018 21:56:22","ENW","ITSP","03/28/2019 00:00:00","2019KK","06","","","0",""
"18009","EA","04/01/2019 00:00:00","04/04/2022 00:00:00","0","ITSP","03/30/2018 21:56:22","ENW","ITSP","03/28/2019 00:00:00","2019KK","06","","","0",""
"16004","EA","04/01/2019 00:00:00","04/04/2022 00:00:00","0","ITSP","03/30/2018 21:56:22","ENW","ITSP","03/28/2019 00:00:00","2019KK","06","","","0",""
"37011","ECL","04/04/2019 00:00:00","10/08/2020 00:00:00","0","itg04213","04/04/2019 15:43:59","PVU_EX_1400","itg04213","04/04/2019 15:43:59","PVU_EX_1400","54","08969","3","0","3"
"37011","EMEC","04/04/2019 00:00:00","10/09/2019 00:00:00","0","itg04213","04/04/2019 15:43:59","PVU_EX_1400","itg40916","10/09/2019 00:00:00","H191136","24","","","0",""
"13181","ECL","04/09/2019 00:00:00","10/08/2020 00:00:00","0","itg36186","04/09/2019 14:51:18","PVU_EX_1400","itg36186","04/09/2019 14:51:18","PVU_EX_1400","51","08120","","0",""
