"Jujisha_CD","Item_KBN","Zokusei_KJ","Del_FLG","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Shinseisha_ID","Shinsei_DT","HubSakuseisha_ID","HubSakusei_DT","HubKoshinsha_ID","HubKoshin_DT","HubKoshinProgram_ID"
"01131735","042","1","False","11333","12/11/2023 00:00:00","11333","12/11/2023 00:00:00","PVZ_EX_0001_S02",,,"BATCH","12/11/2023 22:36:35","BATCH","12/11/2023 22:36:35","PVZ_XP_8002"
"01131932","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01131988","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01132126","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01132156","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01132579","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01132806","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01133045","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01133250","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01133448","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01133564","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01133583","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01133994","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01134015","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01134124","042","1","False","11333","12/11/2023 00:00:00","11333","12/11/2023 00:00:00","PVZ_EX_0001_S02",,,"BATCH","12/11/2023 22:36:35","BATCH","12/11/2023 22:36:35","PVZ_XP_8002"
"01134168","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01134370","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01134427","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01134718","042","1","False","11333","12/11/2023 00:00:00","11333","12/11/2023 00:00:00","PVZ_EX_0001_S02",,,"BATCH","12/11/2023 22:36:35","BATCH","12/11/2023 22:36:35","PVZ_XP_8002"
"01134778","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01134946","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01134982","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01135131","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01135276","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01135304","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"01135343","042","1","False","11333","12/11/2023 00:00:00","11333","12/11/2023 00:00:00","PVZ_EX_0001_S02",,,"BATCH","12/11/2023 22:36:35","BATCH","12/11/2023 22:36:35","PVZ_XP_8002"
