"KozaDairiten_CD","OroshiNonyusaki_CD","Shishoka_CD","TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","DaihyoDairiten_CD","TofuRiyu_KBN"
"09015","0291667000","111","07/17/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","07/17/2015 00:00:00","PVS_EX_0012","itg36186","07/17/2015 00:00:00","PVS_EX_0012","13149","1"
"09015","0293117000","121","12/07/2017 00:00:00","12/31/9999 00:00:00","0","itg40084","12/07/2017 00:00:00","PVS_EX_0012","itg40084","12/07/2017 00:00:00","PVS_EX_0012","13149","1"
"09015","0293117000","122","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","13149","1"
"09015","0293593000","112","05/13/2020 00:00:00","12/31/9999 00:00:00","0","itg42390","05/13/2020 00:00:00","PVS_EX_0012","itg42390","05/13/2020 00:00:00","PVS_EX_0012","13149","1"
"09015","0293593000","113","10/28/2015 00:00:00","12/31/9999 00:00:00","0","itg37109","10/28/2015 00:00:00","PVS_EX_0012","itg37109","10/28/2015 00:00:00","PVS_EX_0012","13149","1"
"09015","0299809000","132","01/26/2016 00:00:00","12/31/9999 00:00:00","0","itg35724","01/26/2016 00:00:00","PVS_EX_0012","itg35724","01/26/2016 00:00:00","PVS_EX_0012","13149","9"
"09015","0376280000","112","02/17/2023 00:00:00","12/31/9999 00:00:00","0","itg42390","02/17/2023 00:00:00","PVS_EX_0012","itg42390","02/17/2023 00:00:00","PVS_EX_0012","13149","1"
"09015","0376280000","113","11/22/2016 00:00:00","12/31/9999 00:00:00","0","itg35724","11/22/2016 00:00:00","PVS_EX_0012","itg35724","11/22/2016 00:00:00","PVS_EX_0012","13149","1"
"09015","0380343000","121","10/07/2019 00:00:00","12/31/9999 00:00:00","0","itg36186","10/07/2019 00:00:00","PVS_EX_0012","itg36186","10/07/2019 00:00:00","PVS_EX_0012","13149","1"
"09015","0380343000","122","05/19/2016 00:00:00","12/31/9999 00:00:00","0","itg35724","05/19/2016 00:00:00","PVS_EX_0012","itg35724","05/19/2016 00:00:00","PVS_EX_0012","13149","1"
"09015","0388843000","121","03/06/2020 00:00:00","12/31/9999 00:00:00","0","itg42390","03/06/2020 00:00:00","PVS_EX_0012","itg42390","03/06/2020 00:00:00","PVS_EX_0012","13149","1"
"09015","0445922000","111","03/07/2019 00:00:00","12/31/9999 00:00:00","0","itg36186","03/07/2019 00:00:00","PVS_EX_0012","itg36186","03/07/2019 00:00:00","PVS_EX_0012","13149","1"
"09015","0448359000","121","10/07/2019 00:00:00","12/31/9999 00:00:00","0","itg36186","10/07/2019 00:00:00","PVS_EX_0012","itg36186","10/07/2019 00:00:00","PVS_EX_0012","13149","1"
"09015","0448359000","122","04/23/2019 00:00:00","12/31/9999 00:00:00","0","itg36186","04/23/2019 00:00:00","PVS_EX_0012","itg36186","04/23/2019 00:00:00","PVS_EX_0012","13149","1"
"09015","0466396000","121","06/05/2020 00:00:00","12/31/9999 00:00:00","0","itg42390","06/05/2020 00:00:00","PVS_EX_0012","itg42390","06/05/2020 00:00:00","PVS_EX_0012","13149","1"
"09015","0483126000","121","03/10/2021 00:00:00","12/31/9999 00:00:00","0","itg42390","03/10/2021 00:00:00","PVS_EX_0012","itg42390","03/10/2021 00:00:00","PVS_EX_0012","13149","1"
"09015","0488429000","112","04/08/2022 00:00:00","12/31/9999 00:00:00","0","itg42390","04/08/2022 00:00:00","PVS_EX_0012","itg42390","04/08/2022 00:00:00","PVS_EX_0012","13149","1"
"09015","0607197000","112","04/17/2017 00:00:00","12/31/9999 00:00:00","0","itg35724","04/17/2017 00:00:00","PVS_EX_0012","itg35724","04/17/2017 00:00:00","PVS_EX_0012","13149","1"
"09015","0608825000","121","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","13149","1"
"09015","0619789000","111","10/07/2015 00:00:00","12/31/9999 00:00:00","0","itg37109","10/07/2015 00:00:00","PVS_EX_0012","itg37109","10/07/2015 00:00:00","PVS_EX_0012","13149","1"
"09015","0619789000","131","07/18/2024 00:00:00","12/31/9999 00:00:00","0","itg42390","07/18/2024 00:00:00","PVS_EX_0012","itg42390","07/18/2024 00:00:00","PVS_EX_0012","13149","1"
"09015","0619789000","132","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","13149","1"
"09015","0620431000","111","05/13/2020 00:00:00","12/31/9999 00:00:00","0","itg42390","05/13/2020 00:00:00","PVS_EX_0012","itg42390","05/13/2020 00:00:00","PVS_EX_0012","13149","1"
"09015","0620431000","112","08/18/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","08/18/2015 00:00:00","PVS_EX_0012","itg36186","08/18/2015 00:00:00","PVS_EX_0012","13149","1"
"09015","0629517000","121","10/07/2019 00:00:00","12/31/9999 00:00:00","0","itg36186","10/07/2019 00:00:00","PVS_EX_0012","itg36186","10/07/2019 00:00:00","PVS_EX_0012","13149","1"
"09015","0629517000","122","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","13149","1"
"09015","0637481000","112","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","13149","1"
"09015","0642714000","141","12/09/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","12/09/2015 00:00:00","PVS_EX_0012","itg36186","12/09/2015 00:00:00","PVS_EX_0012","13149","1"
"09015","0643832000","141","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","13149","1"
"09015","0643832000","142","05/12/2017 00:00:00","12/31/9999 00:00:00","0","itg35724","05/12/2017 00:00:00","PVS_EX_0012","itg35724","05/12/2017 00:00:00","PVS_EX_0012","13149","1"
"09015","0661185000","122","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","13149","1"
"09015","0667670000","112","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","13149","1"
"09015","0669989000","112","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","13149","1"
"09015","0671652000","122","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","13149","1"
"09015","0672915000","121","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","13149","1"
"09016","17147343","200","01/11/2019 00:00:00","12/31/9999 00:00:00","0","itg35724","01/11/2019 00:00:00","PVS_EX_0012","itg35724","01/11/2019 00:00:00","PVS_EX_0012","13013","5"
"09016","78610243","140","01/07/2016 00:00:00","12/31/9999 00:00:00","0","itg35724","01/07/2016 00:00:00","PVS_EX_0012","itg35724","01/07/2016 00:00:00","PVS_EX_0012","13013","9"
"09016","78819297","070","12/07/2020 00:00:00","12/31/9999 00:00:00","0","itg42390","12/07/2020 00:00:00","PVS_EX_0012","itg42390","12/07/2020 00:00:00","PVS_EX_0012","13013","9"
"10002","28603853","010","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","13013","1"
"10002","28604233","010","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","13013","1"
"10002","28604793","010","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","13013","1"
"10002","28605016","010","05/12/2016 00:00:00","12/31/9999 00:00:00","0","itg36186","05/12/2016 00:00:00","PVS_EX_0012","itg36186","05/12/2016 00:00:00","PVS_EX_0012","13013","1"
"10002","28605631","010","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","13013","1"
"10002","28606335","010","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","13013","1"
"10002","28606959","010","12/18/2015 00:00:00","12/31/9999 00:00:00","0","itg37109","12/18/2015 00:00:00","PVS_EX_0012","itg37109","12/18/2015 00:00:00","PVS_EX_0012","13013","1"
"10002","28607512","010","07/27/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","07/27/2015 00:00:00","PVS_EX_0012","itg36186","07/27/2015 00:00:00","PVS_EX_0012","13013","1"
"10002","28607681","010","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","13013","1"
"10002","28608334","010","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","13013","1"
"10002","28609208","010","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","13013","1"
"10002","28609353","010","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","13013","1"
"10002","28609898","010","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","13013","1"
"10002","28611026","010","09/14/2016 00:00:00","12/31/9999 00:00:00","0","itg36186","09/14/2016 00:00:00","PVS_EX_0012","itg36186","09/14/2016 00:00:00","PVS_EX_0012","13013","1"
"10002","28612006","010","11/14/2022 00:00:00","12/31/9999 00:00:00","0","itg42390","11/14/2022 00:00:00","PVS_EX_0012","itg42390","11/14/2022 00:00:00","PVS_EX_0012","13013","1"
"10002","28612969","010","07/17/2024 00:00:00","12/31/9999 00:00:00","0","itg42390","07/17/2024 00:00:00","PVS_EX_0012","itg42390","07/17/2024 00:00:00","PVS_EX_0012","13013","1"
"10002","28613273","010","07/07/2023 00:00:00","12/31/9999 00:00:00","0","itg35724","07/07/2023 00:00:00","PVS_EX_0012","itg35724","07/07/2023 00:00:00","PVS_EX_0012","13013","1"
"10002","28615387","010","01/25/2024 00:00:00","12/31/9999 00:00:00","0","itg39895","01/25/2024 00:00:00","PVS_EX_0012","itg39895","01/25/2024 00:00:00","PVS_EX_0012","13013","1"
"10002","28616213","010","07/07/2023 00:00:00","12/31/9999 00:00:00","0","itg35724","07/07/2023 00:00:00","PVS_EX_0012","itg35724","07/07/2023 00:00:00","PVS_EX_0012","13013","1"
"10002","28616355","010","07/07/2023 00:00:00","12/31/9999 00:00:00","0","itg35724","07/07/2023 00:00:00","PVS_EX_0012","itg35724","07/07/2023 00:00:00","PVS_EX_0012","13013","1"
"10002","28617205","010","07/07/2023 00:00:00","12/31/9999 00:00:00","0","itg35724","07/07/2023 00:00:00","PVS_EX_0012","itg35724","07/07/2023 00:00:00","PVS_EX_0012","13013","1"
"10002","28617271","010","07/07/2023 00:00:00","12/31/9999 00:00:00","0","itg35724","07/07/2023 00:00:00","PVS_EX_0012","itg35724","07/07/2023 00:00:00","PVS_EX_0012","13013","1"
"10002","28618039","010","03/07/2017 00:00:00","12/31/9999 00:00:00","0","itg36186","03/07/2017 00:00:00","PVS_EX_0012","itg36186","03/07/2017 00:00:00","PVS_EX_0012","13013","1"
"10002","28618809","010","09/12/2023 00:00:00","12/31/9999 00:00:00","0","itg42390","09/12/2023 00:00:00","PVS_EX_0012","itg42390","09/12/2023 00:00:00","PVS_EX_0012","13013","1"
"10002","28621504","010","07/07/2023 00:00:00","12/31/9999 00:00:00","0","itg35724","07/07/2023 00:00:00","PVS_EX_0012","itg35724","07/07/2023 00:00:00","PVS_EX_0012","13013","1"
"10002","28621816","010","07/07/2023 00:00:00","12/31/9999 00:00:00","0","itg35724","07/07/2023 00:00:00","PVS_EX_0012","itg35724","07/07/2023 00:00:00","PVS_EX_0012","13013","1"
"10002","28621946","010","07/07/2023 00:00:00","12/31/9999 00:00:00","0","itg35724","07/07/2023 00:00:00","PVS_EX_0012","itg35724","07/07/2023 00:00:00","PVS_EX_0012","13013","1"
"10002","28626975","010","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","13013","1"
"10002","28627379","010","08/07/2017 00:00:00","12/31/9999 00:00:00","0","itg35724","08/07/2017 00:00:00","PVS_EX_0012","itg35724","08/07/2017 00:00:00","PVS_EX_0012","13013","1"
"10002","28628074","010","03/07/2017 00:00:00","12/31/9999 00:00:00","0","itg36186","03/07/2017 00:00:00","PVS_EX_0012","itg36186","03/07/2017 00:00:00","PVS_EX_0012","13013","1"
"10002","28628335","010","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","13013","1"
"10002","28628544","010","08/05/2016 00:00:00","12/31/9999 00:00:00","0","itg36186","08/05/2016 00:00:00","PVS_EX_0012","itg36186","08/05/2016 00:00:00","PVS_EX_0012","13013","1"
"10002","28628908","010","02/17/2016 00:00:00","12/31/9999 00:00:00","0","itg35724","02/17/2016 00:00:00","PVS_EX_0012","itg35724","02/17/2016 00:00:00","PVS_EX_0012","13013","1"
"10002","28630098","010","12/02/2015 00:00:00","12/31/9999 00:00:00","0","itg35724","12/02/2015 00:00:00","PVS_EX_0012","itg35724","12/02/2015 00:00:00","PVS_EX_0012","13013","9"
"10002","28634618","010","05/22/2017 00:00:00","12/31/9999 00:00:00","0","itg35724","05/22/2017 00:00:00","PVS_EX_0012","itg35724","05/22/2017 00:00:00","PVS_EX_0012","13013","1"
"10002","28635455","010","02/26/2025 00:00:00","12/31/9999 00:00:00","0","itg42390","02/26/2025 00:00:00","PVS_EX_0012","itg42390","02/26/2025 00:00:00","PVS_EX_0012","13013","1"
"10002","28700126","030","03/08/2024 00:00:00","12/31/9999 00:00:00","0","itg39895","03/08/2024 00:00:00","PVS_EX_0012","itg39895","03/08/2024 00:00:00","PVS_EX_0012","13013","1"
"10002","28702673","030","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","13013","1"
"10002","28704215","030","07/12/2017 00:00:00","12/31/9999 00:00:00","0","itg19647","07/12/2017 00:00:00","PVS_EX_0012","itg19647","07/12/2017 00:00:00","PVS_EX_0012","13013","1"
"10002","28704384","030","12/13/2016 00:00:00","12/31/9999 00:00:00","0","itg35724","12/13/2016 00:00:00","PVS_EX_0012","itg35724","12/13/2016 00:00:00","PVS_EX_0012","13013","1"
"10002","28704893","030","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","13013","1"
"10002","28704945","030","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","13013","1"
"10002","28705001","030","10/07/2015 00:00:00","12/31/9999 00:00:00","0","itg37109","10/07/2015 00:00:00","PVS_EX_0012","itg37109","10/07/2015 00:00:00","PVS_EX_0012","13013","1"
"10002","28705873","030","11/15/2018 00:00:00","12/31/9999 00:00:00","0","itg35724","11/15/2018 00:00:00","PVS_EX_0012","itg35724","11/15/2018 00:00:00","PVS_EX_0012","13013","1"
"10002","28705897","030","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","13013","1"
"10002","28706541","030","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","13013","1"
"10002","28711544","030","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","13013","1"
"10002","28713516","030","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","13013","1"
"10002","28713543","030","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","13013","1"
"10002","28717186","030","01/18/2016 00:00:00","12/31/9999 00:00:00","0","itg35724","01/18/2016 00:00:00","PVS_EX_0012","itg35724","01/18/2016 00:00:00","PVS_EX_0012","13013","1"
"10002","28717292","030","06/16/2015 00:00:00","12/31/9999 00:00:00","0","itg36186","06/16/2015 00:00:00","PVS_EX_0012","itg36186","06/16/2015 00:00:00","PVS_EX_0012","13013","1"
"10002","28719055","030","03/15/2019 00:00:00","12/31/9999 00:00:00","0","itg35724","03/15/2019 00:00:00","PVS_EX_0012","itg35724","03/15/2019 00:00:00","PVS_EX_0012","13013","9"
