"Joi_DairitenTK_CD","DairitenTK_Kaiso_KBN","TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","DairitenTokeiName_KJKC","DairitenTokeiName_KJ","DairitenTokeiName_KJR","DairitenTokeiName_KJK","DairitenTokeiName_KN","DairitenTokeiName_KNR"
"16021","PVU_K0001","04/12/2017 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","協栄薬品（株）","協栄薬品（株）","協栄薬品","協栄薬品","ｷﾖｳｴｲﾔｸﾋﾝ","ｷﾖｳｴｲﾔｸﾋﾝ"
"16021","PVU_K0003","04/01/2017 00:00:00","09/30/2018 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","協栄薬品（株）","協栄薬品（株）","協栄薬品","協栄薬品","ｷﾖｳｴｲﾔｸﾋﾝ","ｷﾖｳｴｲﾔｸﾋﾝ"
"16021","PVU_K0003","10/01/2018 00:00:00","12/31/9999 00:00:00","0","itg04213","09/25/2018 13:11:10","PVU_EX_1400","itg04213","09/25/2018 13:11:10","PVU_EX_1400","北陸東邦株式会社","北陸東邦株式会社","北陸東邦株式会社","北陸東邦","ﾎｸﾘｸﾄｳﾎｳｶﾌﾞｼｷｶｲｼﾔ","ﾎｸﾘｸﾄｳﾎｳ"
"17001","PVU_K0001","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","明祥（株）","明祥（株）","明祥","明祥","ﾒｲｼﾖｳ KK","ﾒｲｼﾖｳ"
"17001","PVU_K0002","10/01/2025 00:00:00","12/31/9999 00:00:00","0","itg39895","09/16/2025 13:59:41","PVU_EX_1400","itg39895","09/16/2025 13:59:41","PVU_EX_1400","明祥（株）","明祥（株）","明祥","明祥","ﾒｲｼﾖｳ KK","ﾒｲｼﾖｳ"
"17001","PVU_K0003","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","明祥（株）","明祥（株）","明祥","明祥","ﾒｲｼﾖｳ KK","ﾒｲｼﾖｳ"
"17004","PVU_K0004","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","Ｓ・北陸ブロック","Ｓ・北陸ブロック","北陸ブ","北陸","ｽｽﾞｹﾝﾎｸﾘｸﾌﾞﾛﾂｸ","ﾎｸﾘｸﾌﾞ"
"17011","PVU_K0001","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","（株）ＰＡＬＴＡＣ北陸支社","（株）ＰＡＬＴＡＣ北陸支社","ＰＡＬＴＡＣ北陸支社","ＰＴ北陸","KK ﾊﾟﾙﾀﾂｸ ﾎｸﾘｸ ｼｼﾔ","ﾊﾟﾙ ﾎｸﾘｸ"
"20001","PVU_K0001","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","岡野薬品（株）","岡野薬品（株）","岡野薬品","岡野","ｵｶﾉ ﾔｸﾋﾝ KK","ｵｶﾉ"
"20001","PVU_K0003","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","岡野薬品（株）","岡野薬品（株）","岡野薬品","岡野","ｵｶﾉ ﾔｸﾋﾝ KK","ｵｶﾉ"
