"KakuCorp_ID","KakuTantosha_CD","Tantosha_KBN","Corp_ID","Tantosha_CD","TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Tanto_SEQ","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Shinseisha_ID","Shinsei_DT"
"ECL","71102","PVS_T0008","ECL","08325","12/01/2012 00:00:00","03/31/2013 00:00:00","False","2","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71121","PVS_T0008","ECL","07509","12/01/2012 00:00:00","03/31/2013 00:00:00","False","1","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71121","PVS_T0008","ECL","08798","12/01/2012 00:00:00","03/31/2013 00:00:00","False","2","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71121","PVS_T0008","ECL","09044","12/01/2012 00:00:00","03/31/2013 00:00:00","False","3","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71121","PVS_T0008","ECL","09208","12/01/2012 00:00:00","03/31/2013 00:00:00","False","4","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71122","PVS_T0008","ECL","07710","12/01/2012 00:00:00","03/31/2013 00:00:00","False","1","D0930","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71122","PVS_T0008","ECL","08434","12/01/2012 00:00:00","03/31/2013 00:00:00","False","2","D0930","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71122","PVS_T0008","ECL","08483","12/01/2012 00:00:00","03/31/2013 00:00:00","False","3","D0930","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71122","PVS_T0008","ECL","08749","12/01/2012 00:00:00","03/31/2013 00:00:00","False","4","D0930","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71123","PVS_T0008","ECL","07977","12/01/2012 00:00:00","03/31/2013 00:00:00","False","1","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71123","PVS_T0008","ECL","08377","12/01/2012 00:00:00","03/31/2013 00:00:00","False","2","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71124","PVS_T0008","ECL","08111","12/01/2012 00:00:00","03/31/2013 00:00:00","False","1","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71124","PVS_T0008","ECL","08422","12/01/2012 00:00:00","03/31/2013 00:00:00","False","2","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71124","PVS_T0008","ECL","08735","12/01/2012 00:00:00","03/31/2013 00:00:00","False","3","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
