"TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Layout_KBN","Todofuken_CD","Shusei_KBN","Maintenance_DT","Tenso_DT","Meisho_KJ","JISKen_CD"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","61","A","20130215","20130218","鳥取県","31"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","62","A","20130215","20130218","島根県","32"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","63","A","20130215","20130218","岡山県","33"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","64","A","20130215","20130218","広島県","34"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","65","A","20130215","20130218","山口県","35"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","71","A","20130215","20130218","徳島県","36"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","72","A","20130215","20130218","香川県","37"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","73","A","20130215","20130218","愛媛県","38"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","74","A","20130215","20130218","高知県","39"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","81","A","20130215","20130218","福岡県","40"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","82","A","20130215","20130218","佐賀県","41"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","83","A","20130215","20130218","長崎県","42"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","84","A","20130215","20130218","熊本県","43"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","85","A","20130215","20130218","大分県","44"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","86","A","20130215","20130218","宮崎県","45"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","87","A","20130215","20130218","鹿児島県","46"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","88","A","20130215","20130218","沖縄県","47"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:29","BATCH","04/14/2026 00:00:00","PVS_XP_2083","006","99","A","20130215","20130218","","99"
